"","UniqueID","state_code","district_code"
"2013.4586","AP_1_01091500","AP",1
"2013.4036","AP_1_01091600","AP",1
"2013.4006","AP_1_01091700","AP",1
"2013.36110","AP_1_01091800","AP",1
"2013.31015","AP_1_01091900","AP",1
"2013.4066","AP_1_01092000","AP",1
"2013.3926","AP_1_01092100","AP",1
"2013.4696","AP_1_01092200","AP",1
"2013.5096","AP_1_01092300","AP",1
"2013.51110","AP_1_01092400","AP",1
"2013.4956","AP_1_01092500","AP",1
"2013.4556","AP_1_01092600","AP",1
"2013.5256","AP_1_01092700","AP",1
"2013.5506","AP_1_01092800","AP",1
"2013.5746","AP_1_01092900","AP",1
"2013.5936","AP_1_01093000","AP",1
"2013.5696","AP_1_01093100","AP",1
"2013.5186","AP_1_01093200","AP",1
"2013.4436","AP_1_01093300","AP",1
"2013.5346","AP_1_01093400","AP",1
"2013.4976","AP_1_01093500","AP",1
"2013.5646","AP_1_01093600","AP",1
"2013.5636","AP_1_01093700","AP",1
"2013.6336","AP_1_01093800","AP",1
"2013.6066","AP_1_01093900","AP",1
"2013.5956","AP_1_01094000","AP",1
"2013.6136","AP_1_01094100","AP",1
"2013.6386","AP_1_01094200","AP",1
"2013.6526","AP_1_01094300","AP",1
"2013.70110","AP_1_01094400","AP",1
"2013.6576","AP_1_01094500","AP",1
"2013.6536","AP_1_01094600","AP",1
"2013.7236","AP_1_01094700","AP",1
"2013.7326","AP_1_01094800","AP",1
"2013.7566","AP_1_01094900","AP",1
"2013.7736","AP_1_01095000","AP",1
"2013.7526","AP_1_01095100","AP",1
"2013.8136","AP_1_01095200","AP",1
"2013.88110","AP_1_01095300","AP",1
"2013.8186","AP_1_01095400","AP",1
"2013.8656","AP_1_01095500","AP",1
"2013.22616","AP_1_01095600","AP",1
"2013.26916","AP_1_01095700","AP",1
"2013.26516","AP_1_01095800","AP",1
"2013.25216","AP_1_01095900","AP",1
"2013.32415","AP_1_01096000","AP",1
"2013.3336","AP_1_01096100","AP",1
"2013.29115","AP_1_01096200","AP",1
"2013.42110","AP_1_01098400","AP",1
"2013.3766","AP_1_01099900","AP",1
