Sl.No,District,South West Monsoon(June ’07  toSeptember ‘07)Actual (in mm) ,South West Monsoon(June ’07  toSeptember ‘07)Normal (in mm),North East Monsoon (October’07 toDecember’07)Actual (in mm),North East Monsoon (October’07 toDecember’07)Normal (in mm),Winter Season (January ’08 and February ‘08)Actual (in mm),Winter Season (January ’08 and February ‘08)Normal (in mm),Hot Weather Season (March ’08 toMay ‘08)Actual (in mm),Hot Weather Season (March ’08 toMay ‘08)Normal (in mm),Annual Total (June ’07 toMay ’08)Actual (in mm),Annual Total (June ’07 toMay ’08)Normal (in mm)
1,Chennai,676.6,443.5,596,753.1,74.3,37.3,126,64.2,1472.9,1298.1
2,Kancheepuram,530.5,462.7,658.4,697.2,47.6,32.1,183,60.1,1419.5,1252.1
3,Thiruvallur,669.7,449.5,607.9,604.1,68.6,33.5,168.8,65.7,1515,1152.8
4,Cuddalore,330.5,373.6,837.7,716.5,101.3,56.4,318.2,89.3,1587.7,1235.8
5,Villupuram,374.4,433,776.9,484.8,121.9,34.5,232,77.1,1505.2,1029.4
6,Vellore,579.5,442,441.1,353,14.3,20.3,160.8,101.7,1195.7,917
7,Thiruvannamalai,485.9,465.8,601.8,439.8,23.2,32.8,184.3,108.2,1295.2,1046.6
8,Salem,488,380,375.6,347,15,21.3,267.1,149.7,1145.7,898
9,Namakkal,271.1,317,356.3,291,6.4,18.1,238.6,150.4,872.4,776.5
10,Dharmapuri,421.9,361,331.6,316.7,9.1,18.5,201.2,156.9,963.8,853.1
11,Krishnagiri,394.5,403.6,346,290.9,6.2,14.3,238.2,154.7,984.9,863.5
12,Erode,203.9,213.1,446.7,323.5,27,20.7,215.9,154.1,893.5,711.4
13,Coimbatore,204.3,192.9,378,327,25,26.1,190.8,148.4,798.1,694.4
14,The Nilgiris,1142.6,1060,515.5,367.7,193.6,30.8,438.8,237.2,2290.5,1695.7
15,Tiruchirappalli,263.8,270.3,486.7,356.1,30.4,25,193.7,110.1,974.6,761.5
16,Karur,181.3,249.7,470.7,365.4,7.8,24,212.7,103.1,872.5,742.2
17,Perambalur,312.4,349.6,465.1,449.6,45.8,34.5,160.6,115.9,983.9,949.6
18,Pudukottai,308.8,350.7,455.9,418,62.9,38.2,179.9,114.6,1007.5,921.5
19,Thanjavur,287,342,667.4,545.7,23.4,50.7,154.7,114.6,1132.5,1053
20,Nagapattinam,361.6,274.1,1065.5,886.4,76.5,81.5,370.5,99.7,1874.1,1341.7
21,Thiruvarur,512,301.8,839.8,665.4,45.6,57.9,213.5,104.8,1610.9,1129.9
22,Madurai,202.8,305.4,472.5,373,20.7,29.8,278.5,131.8,974.5,840
23,Theni,237.2,178.4,576.7,384,36.3,48.4,324.5,222.7,1174.7,833.5
24,Dindigul,233.4,251.4,590.2,399.2,38.5,33,298.5,148,1160.6,831.6
25,Ramanathapuram,150.5,136.1,510.1,507.4,65.8,53.9,432.3,123.8,1158.7,821.2
26,Virudhunagar,124.3,181.8,514.1,431.2,38.3,42,357.2,174.6,1033.9,829.6
27,Sivagangai,273.5,289.6,433.1,415.5,51.9,35.8,320.8,135.1,1079.3,876
28,Tirunelveli,257.6,92.6,426.5,429.8,67.6,72.6,509.8,141.9,1261.5,736.9
29,Thoothukudi,101.7,86.8,370.4,410.1,94.9,46.6,323.9,112.2,890.9,655.7
30,Kanyakumari,554.5,327.8,347.7,427.4,50.5,33.4,408.5,217.4,1361.2,1006
State Average,State Average,371.2,332.8,532,459.2,49.6,36.8,263.4,129.1,1216.3,958.4
