S.No,District,Actual South West Monsoon(June ’11 toSeptember ’11) (in mm),Normal South West Monsoon(June ’11 toSeptember ’11) (in mm),Actual North East Monsoon(October’11 to December’11) (in mm),Normal North East Monsoon(October’11 to December’11) (in mm),Actual Winter Season(January ’12 and February ’12) (in mm),Normal Winter Season(January ’12 and February ’12) (in mm),Actual Hot Weather Season (March ’12 to May ‘12) (in mm),Normal Hot Weather Season (March ’12 to May ‘12) (in mm),Actual Annual Total (June ’11 to May ’12) (in mm),Normal Annual Total (June ’11 to May ’12) (in mm)
1,Chennai,769.6,439.1,835.9,789.9,17,36.8,0.5,58.5,1623,1324.3
2,Kancheepuram,527.8,490.8,821.1,641.8,7.9,29.1,6,66,1362.8,1227.7
3,Thiruvallur,613.7,451.6,669.1,589.3,8.3,31.5,24.4,67.2,1315.5,1139.6
4,Cuddalore,424.6,383.1,873.4,697.8,6,44.1,43.9,81.7,1347.9,1206.7
5,Villupuram,374.1,408.3,624.9,499.1,7.3,28.2,6.5,76,1012.8,1011.6
6,Vellore,466.9,466.1,372.2,348.7,3.4,14.9,54.6,106.5,897.1,936.2
7,Tiruvannamalai,539.1,468.1,506.6,446.5,0,26.5,56.9,98.9,1102.6,1040
8,Salem,448.4,440.6,447.3,370.5,0,16,115.3,170.8,1011,997.9
9,Namakkal,256.5,339.3,356.5,291.6,0.1,13.9,68.6,148.6,681.7,793.4
10,Dharmapuri,261.7,393.4,363.9,330.1,0,18.2,136,160.4,761.6,902.1
11,Krishnagiri,309.2,399,376.7,289.4,0,10.7,152.6,151.6,838.5,850.7
12,Tiruppur,72.2,154.8,494.6,314.3,1.7,14,86.9,135.1,655.4,618.2
13,Coimbatore,252.9,189.8,410.7,328.9,2.6,20.3,116,150.3,782.2,689.3
14,Erode,228,229.8,409,314.6,1,16.1,124.6,142.4,762.6,702.9
15,Tiruchirappalli,264,293.9,481.5,391.5,2.9,22.7,126.1,109.9,874.5,818
16,Karur,154.4,213.6,466,314.7,2.5,17.5,152.6,109.2,775.5,655
17,Perambalur,254,290.7,436.3,440.9,0,21.4,78.4,108.9,768.7,861.9
18,Pudukkottai,387,350.6,496.4,406.2,2.9,33.1,60.7,97.5,947,887.4
19,Thanjavur,297,318.4,544.5,550.3,2.9,42.3,29.9,102.1,874.3,1013.1
20,Thiruvarur,213.9,296.4,743.3,719.1,0.5,60.1,34.3,97.7,992,1173.3
21,Nagapattinam,207.1,286.1,845.7,941,12.1,85.7,22.7,80.5,1087.6,1393.3
22,Madurai,190.5,335.9,609.8,419.1,10.8,28.1,129.2,144.8,940.3,927.9
23,Theni,292.2,158.4,531.6,357.9,29.8,35.4,123.1,168.3,976.7,720
24,Dindigul,180,295.4,617.1,436.4,3,30.9,140.4,168,940.5,930.7
25,Ramanathapuram,100,149.3,613.5,491.7,7.2,51.3,46.5,115.5,767.2,807.8
26,Virudhunagar,145.9,196.8,505,419,23.9,42.8,142.5,161.5,817.3,820.1
27,Sivaganga,367.6,301,527,422.7,6,27.9,101.3,121.2,1001.9,872.8
28,Tirunelveli,107.7,142.4,639.9,467.2,70.7,69.3,100.7,166.2,919,845.1
29,Thoothukkudi,30.3,74.9,550.9,427,16.2,42.8,72.8,111.6,670.2,656.3
30,The Nilgiris,915.4,759.9,509.9,478.2,18.6,49.3,135.3,235.3,1579.2,1522.7
31,Ariyalur,238.5,392,596.3,545.5,8.4,32.5,43,101.8,886.2,1071.8
32,Kanniyakumari,251.9,477.4,580.5,496.4,31.2,40.4,147.9,288.3,1011.5,1302.5
Total,State Average,316.9,330.8,558.03,468.04,9.5,32.9,83.7,128.19,968.25,960
