Sl.No,District,Actual South West Monsoon (Jun'13 to Sep'13) in mm,Normal South West Monsoon (Jun'13 to Sep'13) in mm,Actual North East Monsoon (Oct'13 to Dec'13) in mm,Normal North East Monsoon (Oct'13 to Dec'13) in mm,Actual Winter Season (Jan'14 & Feb'14) in mm,Normal Winter Season (Jan'14 & Feb'14) in mm,Actual Hot Weather Season (mar'14 to May'14) in mm,Normal Hot Weather Season (mar'14 to May'14) in mm,Actual Annual Total (June'13 to May'14) in mm,Normal Annual Total (June'13 to May'14) in mm
1,Chennai,597.6,439.1,463.5,789.9,7.1,36.7,30.5,58.5,1098.7,1324.2
2,Kancheepuram,533.2,490.8,315.4,641.8,3.9,29.1,35.7,66,888.2,1227.7
3,Thiruvallur,612.5,451.6,342,589.3,1.5,31.5,24.6,67.2,980.6,1139.6
4,Cuddalore,454.1,383.1,442.6,697.8,15.6,44.1,174.1,81.7,1086.4,1206.7
5,Villupuram,403.3,408.3,347.6,499.1,14,28.2,115.2,76,880.1,1011.6
6,Vellore,453.9,466.1,204.6,348.7,4.8,14.9,97.4,106.5,760.7,936.2
7,Tiruvannamalai,401.5,468.1,331.5,446.5,10,26.5,94.9,98.9,837.9,1040
8,Salem,491.7,440.6,255.6,370.5,1.1,16,154.1,170.8,902.5,997.9
9,Namakkal,316.4,339.3,232.6,291.6,0.6,13.9,117.6,148.6,667.2,793.4
10,Dharmapuri,284.6,393.4,314.4,330.1,5.2,18.2,153.2,160.4,757.4,902.1
11,Krishnagiri,377.7,399,235.2,289.4,1.7,10.7,203.8,151.6,818.4,850.7
12,Tiruppur,28.3,154.8,166.6,314.3,0,14,140.4,135.1,335.3,618.2
13,Coimbatore,596.7,189.8,257.9,328.9,5.1,20.3,141,150.3,1000.7,689.3
14,Erode,233.1,229.8,210,314.6,0,16.1,80.8,142.4,523.9,702.9
15,Tiruchirappalli,207.9,293.9,250.3,391.5,4,22.7,130.1,109.9,592.3,818
16,Karur,164.7,213.6,220.6,314.7,0.4,17.5,96.1,109.2,481.8,655
17,Perambalur,340.1,290.7,312.1,440.9,0.3,21.4,182.7,108.9,835.2,861.9
18,Pudukkottai,286.5,350.6,202.8,406.2,8.1,33.1,135.7,97.5,633.1,887.4
19,Thanjavur,299.1,318.4,311.8,550.3,14.7,42.3,131.1,102.1,756.7,1013.1
20,Thiruvarur,358.5,296.4,388.4,719.1,19.5,60.1,181,97.7,947.4,1173.3
21,Nagapattinam,315.6,286.1,620.3,941,21.7,85.7,156.7,80.5,1114.3,1393.3
22,Madurai,189.9,335.9,266.5,419.1,6.1,28.1,187.4,144.8,649.9,927.9
23,Theni,370.4,158.4,257.9,357.9,10.5,35.4,226.9,168.3,865.7,720
24,Dindigul,174.8,295.4,219.7,436.4,7.3,30.9,240.3,168,642.1,930.7
25,Ramanathapuram,73.1,149.3,333.1,491.7,55.7,51.3,183.8,115.5,645.7,807.8
26,Virudhunagar,189.5,196.8,296.7,419,5,42.8,191.2,161.5,682.4,820.1
27,Sivagangai,267.4,301,264.6,422.7,14.9,27.9,180.6,121.2,727.5,872.8
28,Tirunelveli,237,142.4,412.8,467.2,70.4,69.3,314.1,166.2,1034.3,845.1
29,Thoothukkudi,13.8,74.9,301.6,427,31.4,42.8,159.4,111.6,506.2,656.3
30,The Nilgiris,1004.7,759.9,398.1,478.2,41.1,49.3,321.8,235.3,1765.7,1522.7
31,Ariyalur,345.2,392,285.8,545.5,1,32.5,128.5,101.8,760.5,1071.8
32,Kanniyakumari,503.6,477.4,480.3,496.4,65.4,40.4,341.8,288.3,1391.1,1302.5
Total,State Average,325.4,321.2,294.3,440.4,13.8,31.3,157.1,128,790.6,920.9
