"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"AP_3_01348600",3802,282,0,253800,0
"AP_3_01513700",12242,272,0,244800,0
"AP_3_01513600",774,0,0,0,0
"AP_3_01513500",7319,339,0,305100,0
"AP_3_01510500",1644,454,0,408600,0
"AP_3_01510600",209,261,16,234900,14400
"AP_3_01510800",607,557,0,501300,0
"AP_3_01513400",6563,1472,32,1324800,28800
"AP_3_01510700",129,335,0,301500,0
"AP_3_01511000",244,156,0,140400,0
"AP_3_01510900",299,212,9,190800,8100
"AP_3_01515300",2446,111,104,99900,93600
"AP_3_01511600",235,466,0,419400,0
"AP_3_01511500",202,86,0,77400,0
"AP_3_01513000",865,77,1,69300,900
"AP_3_01511800",136,586,0,527400,0
"AP_3_01515400",1041,12,0,10800,0
"AP_3_01513300",538,20,0,18000,0
"AP_3_01540800",110,172,0,154800,0
"AP_3_01540700",396,247,0,222300,0
"AP_3_01517300",10271,1740,360,1566000,324000
"AP_3_01513100",450,4,0,3600,0
"AP_3_01511300",1041,655,10,589500,9000
"AP_3_01511700",93,224,0,201600,0
"AP_3_01515600",955,44,0,39600,0
"AP_3_01512000",118,168,0,151200,0
"AP_3_01513200",640,68,0,61200,0
"AP_3_01515500",1115,56,4,50400,3600
"AP_3_01540600",172,62,0,55800,0
"AP_3_01515700",774,18,0,16200,0
"AP_3_01390900",6064,1918,12,1726200,10800
"AP_3_01518400",221,58,0,52200,0
"AP_3_01518200",164,92,1,82800,900
"AP_3_01518500",54,36,0,32400,0
"AP_3_01518700",664,153,1,137700,900
"AP_3_01518300",61,91,4,81900,3600
"AP_3_01517900",270,8,126,7200,113400
"AP_3_01518600",74,152,0,136800,0
"AP_3_01519600",187,124,0,111600,0
"AP_3_01518000",146,9,56,8100,50400
"AP_3_01517800",524,3,15,2700,13500
"AP_3_01517500",238,137,50,123300,45000
"AP_3_01519500",380,19,0,17100,0
"AP_3_01518100",260,0,1,0,900
"AP_3_01519700",392,199,34,179100,30600
"AP_3_01518800",373,11,0,9900,0
"AP_3_01518900",293,59,0,53100,0
"AP_3_01517700",420,16,0,14400,0
"AP_3_01516700",281,160,0,144000,0
"AP_3_01517200",506,69,0,62100,0
"AP_3_01517600",647,86,2,77400,1800
"AP_3_01521600",492,13,0,11700,0
"AP_3_01517400",1412,261,1,234900,900
"AP_3_01521500",72,82,0,73800,0
"AP_3_01519000",54,40,1,36000,900
"AP_3_01519200",75,34,0,30600,0
"AP_3_01519100",102,4,0,3600,0
"AP_3_01519300",35,51,0,45900,0
"AP_3_01521200",223,142,0,127800,0
"AP_3_01391100",3885,84,1,75600,900
"AP_3_01519400",99,2,0,1800,0
"AP_3_01521700",94,2,5,1800,4500
"AP_3_01521800",174,33,2,29700,1800
"AP_3_01521300",143,36,0,32400,0
"AP_3_01521400",189,35,0,31500,0
"AP_3_01517100",229,49,1,44100,900
"AP_3_01522000",232,23,3,20700,2700
"AP_3_01521900",670,45,0,40500,0
"AP_3_01517000",746,26,0,23400,0
"AP_3_01388500",4975,41,0,36900,0
"AP_3_01388600",8183,15,6,13500,5400
"AP_3_01522100",332,163,0,146700,0
"AP_3_01516800",108,67,0,60300,0
"AP_3_01522300",217,28,0,25200,0
"AP_3_01522200",288,24,0,21600,0
"AP_3_01522400",314,174,0,156600,0
"AP_3_01391200",1300,83,87,74700,78300
"AP_3_01524100",448,40,0,36000,0
"AP_3_01524200",90,150,0,135000,0
"AP_3_01523900",417,15,71,13500,63900
"AP_3_01524000",199,34,41,30600,36900
"AP_3_01522500",499,72,2,64800,1800
"AP_3_01522700",21,39,0,35100,0
"AP_3_01522600",73,133,0,119700,0
"AP_3_01523600",557,75,0,67500,0
"AP_3_01524300",993,174,5,156600,4500
"AP_3_01525300",480,56,25,50400,22500
"AP_3_01523500",493,8,0,7200,0
"AP_3_01388700",7947,29,9,26100,8100
"AP_3_01525700",806,234,230,210600,207000
"AP_3_01525500",463,171,1,153900,900
"AP_3_01525200",516,18,0,16200,0
"AP_3_01524400",613,53,54,47700,48600
"AP_3_01524500",681,15,0,13500,0
"AP_3_01522800",64,100,0,90000,0
"AP_3_01525800",357,32,188,28800,169200
"AP_3_01523000",85,234,1,210600,900
"AP_3_01523400",148,178,33,160200,29700
"AP_3_01523200",103,63,41,56700,36900
"AP_3_01525000",505,0,0,0,0
"AP_3_01522900",245,329,5,296100,4500
"AP_3_01528000",57,131,5,117900,4500
"AP_3_01525100",5830,79,61,71100,54900
"AP_3_01523100",61,366,1,329400,900
"AP_3_01524900",481,5,0,4500,0
"AP_3_01528100",359,97,0,87300,0
"AP_3_01527800",508,201,0,180900,0
"AP_3_01525900",1130,14,0,12600,0
"AP_3_01528900",556,242,48,217800,43200
"AP_3_01527900",152,224,0,201600,0
"AP_3_01526000",758,8,139,7200,125100
"AP_3_01541400",104,30,0,27000,0
"AP_3_01528200",695,222,0,199800,0
"AP_3_01526100",1120,45,15,40500,13500
"AP_3_01529200",426,58,10,52200,9000
"AP_3_01541300",26,65,0,58500,0
"AP_3_01526200",343,87,128,78300,115200
"AP_3_01529000",758,48,9,43200,8100
"AP_3_01528800",268,69,2,62100,1800
"AP_3_01526400",376,190,95,171000,85500
"AP_3_01528500",264,65,35,58500,31500
"AP_3_01527700",124,109,0,98100,0
"AP_3_01541800",153,0,0,0,0
"AP_3_01527600",163,58,0,52200,0
"AP_3_01529100",586,34,25,30600,22500
"AP_3_01528600",687,78,30,70200,27000
"AP_3_01526600",705,63,64,56700,57600
"AP_3_01526900",192,385,145,346500,130500
"AP_3_01526300",80,362,6,325800,5400
"AP_3_01395800",192,35,10,31500,9000
"AP_3_01527500",669,103,20,92700,18000
"AP_3_01528300",105,82,0,73800,0
"AP_3_01528700",562,0,16,0,14400
"AP_3_01526500",168,30,0,27000,0
"AP_3_01395600",306,4,0,3600,0
"AP_3_01526700",589,26,0,23400,0
"AP_3_01528400",272,25,77,22500,69300
"AP_3_01395600",412,2,4,1800,3600
"AP_3_01529800",64,1010,38,909000,34200
"AP_3_01526800",182,39,0,35100,0
"AP_3_01395500",613,52,0,46800,0
"AP_3_01527400",187,146,9,131400,8100
"AP_3_01529900",2697,256,8,230400,7200
"AP_3_01396300",3545,13,0,11700,0
"AP_3_01527300",234,23,116,20700,104400
"AP_3_01530000",522,593,0,533700,0
"AP_3_01396600",1474,90,8,81000,7200
"AP_3_01396500",785,34,0,30600,0
"AP_3_01527000",272,0,0,0,0
"AP_3_01395500",196,55,3,49500,2700
"AP_3_01527100",540,1,0,900,0
"AP_3_01395400",222,10,0,9000,0
"AP_3_01395400",293,19,1,17100,900
"AP_3_01533400",3195,419,163,377100,146700
"AP_3_01539800",584,41,3,36900,2700
"AP_3_01533600",1924,10,35,9000,31500
"AP_3_01533300",859,65,28,58500,25200
"AP_3_01533500",1125,5,4,4500,3600
"AP_3_01533900",2556,67,9,60300,8100
"AP_3_01533200",682,1,12,900,10800
"AP_3_01531800",353,2,0,1800,0
"AP_3_01533000",362,4,0,3600,0
"AP_3_01532800",314,21,0,18900,0
"AP_3_01531900",167,16,0,14400,0
"AP_3_01532700",528,26,8,23400,7200
"AP_3_01532000",516,2,0,1800,0
"AP_3_01533700",1137,56,94,50400,84600
"AP_3_01534000",902,24,158,21600,142200
"AP_3_01532400",1454,27,57,24300,51300
"AP_3_01532100",825,28,56,25200,50400
"AP_3_01532900",227,0,0,0,0
"AP_3_01533100",196,7,0,6300,0
"AP_3_01532600",946,1,0,900,0
"AP_3_01533800",1580,52,29,46800,26100
"AP_3_01532200",626,0,0,0,0
"AP_3_01696200",8663,78,45,70200,40500
"AP_3_01534100",182,0,11,0,9900
"AP_3_01532500",278,2,0,1800,0
"AP_3_01532300",576,0,0,0,0
"AP_3_01534700",1481,164,34,147600,30600
"AP_3_01534600",932,4,19,3600,17100
"AP_3_01534200",1292,21,17,18900,15300
"AP_3_01534500",435,10,4,9000,3600
"AP_3_01537900",470,11,0,9900,0
"AP_3_01534300",472,26,0,23400,0
"AP_3_01539500",1171,4,52,3600,46800
"AP_3_01537800",788,3,0,2700,0
"AP_3_01534400",426,3,22,2700,19800
"AP_3_01537700",814,15,1,13500,900
"AP_3_01534800",1129,15,43,13500,38700
"AP_3_01538000",455,1,0,900,0
"AP_3_01537600",566,0,78,0,70200
"AP_3_01538100",956,6,1,5400,900
"AP_3_01539400",1492,0,42,0,37800
"AP_3_01539300",598,0,1,0,900
"AP_3_01541000",658,9,0,8100,0
"AP_3_01696300",4060,10,17,9000,15300
"AP_3_01537400",585,0,0,0,0
"AP_3_01534900",800,1,42,900,37800
"AP_3_01538500",1457,12,98,10800,88200
"AP_3_01539200",502,0,26,0,23400
"AP_3_01537500",285,17,150,15300,135000
"AP_3_01538400",813,4,14,3600,12600
"AP_3_01538200",274,11,4,9900,3600
"AP_3_01539100",222,0,4,0,3600
"AP_3_01538300",426,0,29,0,26100
"AP_3_01539000",345,0,0,0,0
"AP_3_01538600",367,0,16,0,14400
"AP_3_01537300",1209,2,0,1800,0
"AP_3_01615000",5853,4847,27,4362300,24300
"AP_3_01538700",517,0,9,0,8100
"AP_3_01538800",600,0,41,0,36900
"AP_3_01537100",1043,8,2,7200,1800
"AP_3_01535200",218,1,5,900,4500
"AP_3_01535100",354,9,0,8100,0
"AP_3_01535400",1077,4,2,3600,1800
"AP_3_01612900",1981,591,8,531900,7200
"AP_3_01538900",784,0,0,0,0
"AP_3_01537200",773,0,0,0,0
"AP_3_01535000",409,73,23,65700,20700
"AP_3_01613200",3361,760,124,684000,111600
"AP_3_01536800",866,0,105,0,94500
"AP_3_01535500",751,7,4,6300,3600
"AP_3_01638100",662,282,5,253800,4500
"AP_3_01696100",7359,70,418,63000,376200
"AP_3_01535700",1044,19,48,17100,43200
"AP_3_01711300",2756,946,0,851400,0
"AP_3_01535600",723,25,10,22500,9000
"AP_3_01537000",809,8,5,7200,4500
"AP_3_01535800",707,5,0,4500,0
"AP_3_01616300",1658,341,0,306900,0
"AP_3_01616100",182,129,0,116100,0
"AP_3_01535300",1415,3,8,2700,7200
"AP_3_01638200",596,317,9,285300,8100
"AP_3_01712400",9440,1669,18,1502100,16200
"AP_3_01637500",1189,592,10,532800,9000
"AP_3_01614900",1777,666,96,599400,86400
"AP_3_01615200",2232,456,3,410400,2700
"AP_3_01536700",1421,21,118,18900,106200
"AP_3_01613300",1249,215,83,193500,74700
"AP_3_01536900",1824,28,10,25200,9000
"AP_3_01616200",716,338,15,304200,13500
"AP_3_01536500",2027,46,265,41400,238500
"AP_3_01535900",1129,1,32,900,28800
"AP_3_01638300",980,284,76,255600,68400
"AP_3_01639100",2639,65,0,58500,0
"AP_3_01638800",1749,166,1,149400,900
"AP_3_01638900",1069,232,0,208800,0
"AP_3_01616400",1019,296,0,266400,0
"AP_3_01695300",16886,186,438,167400,394200
"AP_3_01613500",1108,91,186,81900,167400
"AP_3_01711700",1187,834,2,750600,1800
"AP_3_01613400",1469,234,120,210600,108000
"AP_3_01536600",897,0,0,0,0
"AP_3_01639300",1083,304,127,273600,114300
"AP_3_01637900",1787,109,16,98100,14400
"AP_3_01616500",474,464,12,417600,10800
"AP_3_01536000",1835,19,0,17100,0
"AP_3_01638700",1797,357,0,321300,0
"AP_3_01615300",1711,223,12,200700,10800
"AP_3_01615800",1547,255,3,229500,2700
"AP_3_01536100",307,40,23,36000,20700
"AP_3_01635500",547,367,0,330300,0
"AP_3_01615600",1088,142,3,127800,2700
"AP_3_01613600",1044,84,34,75600,30600
"AP_3_01712200",924,689,0,620100,0
"AP_3_01712100",282,286,0,257400,0
"AP_3_01696400",487,5,28,4500,25200
"AP_3_01712000",709,626,1,563400,900
"AP_3_01615400",1091,113,6,101700,5400
"AP_3_01422000",3098,511,3,459900,2700
"AP_3_01613700",423,243,232,218700,208800
"AP_3_01639200",1939,253,38,227700,34200
"AP_3_01639000",3436,259,0,233100,0
"AP_3_01616600",2394,536,0,482400,0
"AP_3_01712300",7751,2695,3,2425500,2700
"AP_3_01638400",672,6,166,5400,149400
"AP_3_01615500",1832,240,0,216000,0
"AP_3_01616900",1191,498,25,448200,22500
"AP_3_01696500",1288,14,1,12600,900
"AP_3_01696600",1193,27,33,24300,29700
"AP_3_01696000",608,45,106,40500,95400
"AP_3_01616700",566,74,0,66600,0
"AP_3_01536200",3471,106,124,95400,111600
"AP_3_01614000",607,169,10,152100,9000
"AP_3_01638600",1030,579,2,521100,1800
"AP_3_01613900",432,4,82,3600,73800
"AP_3_01536400",297,4,198,3600,178200
"AP_3_01613800",83,278,134,250200,120600
"AP_3_01695900",1036,135,369,121500,332100
"AP_3_01616800",537,722,10,649800,9000
"AP_3_01640000",1275,36,2,32400,1800
"AP_3_01617500",1145,342,6,307800,5400
"AP_3_01614100",273,84,81,75600,72900
"AP_3_01615700",994,545,3,490500,2700
"AP_3_01536300",1558,17,431,15300,387900
"AP_3_01696700",1142,35,76,31500,68400
"AP_3_01639900",3122,37,113,33300,101700
"AP_3_01639700",715,182,226,163800,203400
"AP_3_01617600",1330,811,0,729900,0
"AP_3_01711900",140,162,0,145800,0
"AP_3_01617800",508,45,3,40500,2700
"AP_3_01617000",730,145,5,130500,4500
"AP_3_01614500",1628,222,12,199800,10800
"AP_3_01695800",2328,49,296,44100,266400
"AP_3_01711800",4037,935,4,841500,3600
"AP_3_01713900",7208,369,1,332100,900
"AP_3_01617300",1024,549,3,494100,2700
"AP_3_01617200",516,747,1,672300,900
"AP_3_01617100",446,119,0,107100,0
"AP_3_01617900",1201,433,7,389700,6300
"AP_3_01614400",1416,171,46,153900,41400
"AP_3_01695700",3685,71,2,63900,1800
"AP_3_01614800",465,322,0,289800,0
"AP_3_01639600",304,708,35,637200,31500
"AP_3_01695500",6201,338,11,304200,9900
"AP_3_01642400",1400,372,0,334800,0
"AP_3_01642500",1283,80,1,72000,900
"AP_3_01617700",2617,521,26,468900,23400
"AP_3_01618400",284,276,0,248400,0
"AP_3_01614700",508,333,0,299700,0
"AP_3_01618200",467,246,2,221400,1800
"AP_3_01695600",8176,154,5,138600,4500
"AP_3_01618300",138,322,3,289800,2700
"AP_3_01695400",4206,238,1,214200,900
"AP_3_01713300",568,571,66,513900,59400
"AP_3_01614300",122,82,0,73800,0
"AP_3_01614200",220,8,0,7200,0
"AP_3_01641000",1366,65,203,58500,182700
