"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"OD_1_01159200",1226,0,0,0,0
"OD_1_01159400",1133,0,0,0,0
"OD_1_01159100",1076,0,0,0,0
"OD_1_01161700",1939,0,6,0,5400
"OD_1_01161600",1128,0,1,0,900
"OD_1_01160800",798,0,1,0,900
"OD_1_01161800",1407,6,9,5400,8100
"OD_1_01159500",1097,2,44,1800,39600
"OD_1_01159300",543,0,0,0,0
"OD_1_01159600",117,0,0,0,0
"OD_1_01160600",119,0,0,0,0
"OD_1_01160900",1993,0,0,0,0
"OD_1_01161500",673,0,0,0,0
"OD_1_01160400",159,0,0,0,0
"OD_1_01160500",220,0,0,0,0
"OD_1_01161400",145,0,0,0,0
"OD_1_01159700",839,3,28,2700,25200
"OD_1_01161300",2431,4,0,3600,0
"OD_1_01160300",594,0,0,0,0
"OD_1_01162000",2653,0,11,0,9900
"OD_1_01161000",1127,0,0,0,0
"OD_1_01159800",1347,1,0,900,0
"OD_1_01160200",604,0,0,0,0
"OD_1_01162400",4108,3,91,2700,81900
"OD_1_01162100",2245,0,11,0,9900
"OD_1_01159900",707,0,0,0,0
"OD_1_01160100",712,0,7,0,6300
"OD_1_01161100",948,0,1,0,900
"OD_1_01160000",746,0,2,0,1800
"OD_1_01161200",1963,0,8,0,7200
"OD_1_01162800",17820,4,12,3600,10800
"OD_1_01162200",799,0,0,0,0
"OD_1_01162900",14858,23,5,20700,4500
"OD_1_01163300",12308,0,2,0,1800
"OD_1_01162500",3121,5,156,4500,140400
"OD_1_01162700",2497,0,0,0,0
"OD_1_01163000",1685,0,0,0,0
"OD_1_01162300",716,0,0,0,0
"OD_1_01162600",2317,2,25,1800,22500
"OD_1_01164100",4384,0,4,0,3600
"OD_1_01163200",6474,0,0,0,0
"OD_1_01163700",7636,5,1,4500,900
"OD_1_01163100",457,0,0,0,0
"OD_1_01164200",2734,0,11,0,9900
"OD_1_01163600",10013,4,2,3600,1800
"OD_1_01163500",14963,1,4,900,3600
"OD_1_01163900",2075,0,2,0,1800
"OD_1_01163800",1366,0,2,0,1800
"OD_1_01164000",798,0,0,0,0
"OD_1_01164400",2994,0,2,0,1800
"OD_1_01164700",4477,27,2,24300,1800
"OD_1_01165600",18810,12,11,10800,9900
"OD_1_01164500",6353,0,24,0,21600
"OD_1_01163400",2856,0,0,0,0
"OD_1_01164600",2529,0,182,0,163800
"OD_1_00976800",2622,15,0,13500,0
"OD_1_01165500",5126,2,21,1800,18900
"OD_1_01164900",672,0,9,0,8100
"OD_1_00977100",2510,3,0,2700,0
"OD_1_01165300",1748,0,0,0,0
"OD_1_01166800",7223,143,163,128700,146700
"OD_1_01166900",196,0,47,0,42300
"OD_1_01165700",17293,52,9,46800,8100
"OD_1_01165000",576,1,111,900,99900
"OD_1_01164800",671,1,5,900,4500
"OD_1_01165200",921,0,118,0,106200
"OD_1_01165100",163,0,90,0,81000
"OD_1_01166100",1691,0,3,0,2700
"OD_1_01166200",2224,0,0,0,0
"OD_1_01165400",439,0,0,0,0
"OD_1_00977300",2463,2,0,1800,0
"OD_1_01166700",1181,10,5,9000,4500
"OD_1_00977400",3214,0,12,0,10800
"OD_1_01166400",463,0,87,0,78300
"OD_1_01167400",527,0,0,0,0
"OD_1_01166000",806,1,0,900,0
"OD_1_01166500",379,0,0,0,0
"OD_1_01167700",2403,8,5,7200,4500
"OD_1_01166300",841,0,6,0,5400
"OD_1_01166600",265,4,142,3600,127800
"OD_1_01167600",412,12,0,10800,0
"OD_1_01167500",487,0,0,0,0
"OD_1_00977500",2287,5,8,4500,7200
"OD_1_01168800",254,0,0,0,0
"OD_1_01167800",1305,9,144,8100,129600
"OD_1_40801000",21959,9,181,8100,162900
"OD_1_01168000",1917,4,26,3600,23400
"OD_1_01168200",86,3,0,2700,0
"OD_1_01168600",874,9,1,8100,900
"OD_1_01165900",1633,14,2,12600,1800
"OD_1_01168300",251,0,0,0,0
"OD_1_01168700",211,0,0,0,0
"OD_1_01168900",137,0,0,0,0
"OD_1_01169000",197,0,0,0,0
"OD_1_01168400",824,0,1,0,900
"OD_1_01168100",486,23,1,20700,900
"OD_1_01169500",253,0,0,0,0
"OD_1_01165800",731,1,0,900,0
"OD_1_01169400",194,0,0,0,0
"OD_1_01169300",428,0,1,0,900
"OD_1_01167900",206,2,139,1800,125100
"OD_1_01168500",694,0,0,0,0
"OD_1_01170600",607,2,2,1800,1800
"OD_1_01169600",956,0,1,0,900
"OD_1_01170800",1518,13,0,11700,0
"OD_1_01170700",1114,0,3,0,2700
"OD_1_01170900",2948,0,1,0,900
"OD_1_01170200",1321,0,1,0,900
"OD_1_01170100",225,0,2,0,1800
"OD_1_01170000",578,0,0,0,0
"OD_1_01171000",1125,0,0,0,0
"OD_1_01170300",835,0,0,0,0
"OD_1_01175100",104,17,42,15300,37800
"OD_1_01171600",3196,0,1,0,900
"OD_1_01171100",2411,89,56,80100,50400
"OD_1_01170400",710,0,3,0,2700
"OD_1_01171300",1233,0,11,0,9900
"OD_1_01171900",293,0,0,0,0
"OD_1_01175000",4899,53,342,47700,307800
"OD_1_01171400",772,1,16,900,14400
"OD_1_01171500",501,0,49,0,44100
"OD_1_01172100",1966,0,0,0,0
"OD_1_01170500",279,0,0,0,0
"OD_1_01171800",479,0,0,0,0
"OD_1_01175200",595,0,241,0,216900
"OD_1_01185400",3721,0,0,0,0
"OD_1_01172500",320,0,0,0,0
"OD_1_01184600",1111,0,0,0,0
"OD_1_01171700",790,0,0,0,0
"OD_1_01174500",299,0,0,0,0
"OD_1_01173200",4613,0,3,0,2700
"OD_1_01173100",297,0,0,0,0
"OD_1_01174400",1351,0,1,0,900
"OD_1_01172600",1823,0,0,0,0
"OD_1_01174600",104,1,0,900,0
"OD_1_01173000",465,0,1,0,900
"OD_1_01172900",775,0,2,0,1800
"OD_1_01175900",559,0,0,0,0
"OD_1_01176000",2716,86,29,77400,26100
"OD_1_01174700",130,0,0,0,0
"OD_1_01184800",968,0,0,0,0
"OD_1_01174200",5156,2,6,1800,5400
"OD_1_01174800",206,32,0,28800,0
"OD_1_01172800",1441,0,5,0,4500
"OD_1_01174300",466,0,0,0,0
"OD_1_01185200",305,0,0,0,0
"OD_1_01257000",2107,0,11,0,9900
"OD_1_01174900",2621,8,7,7200,6300
"OD_1_01185300",2553,0,0,0,0
"OD_1_01173900",970,4,0,3600,0
"OD_1_01256900",498,0,5,0,4500
"OD_1_01175800",726,0,9,0,8100
"OD_1_01185100",328,0,1,0,900
"OD_1_01176300",4601,57,16,51300,14400
"OD_1_01173300",464,0,0,0,0
"OD_1_01172700",576,0,0,0,0
"OD_1_01173400",863,0,0,0,0
"OD_1_01175500",4469,2,112,1800,100800
"OD_1_01184900",469,0,0,0,0
"OD_1_01185600",405,0,0,0,0
"OD_1_01173500",511,0,1,0,900
"OD_1_01188400",3732,0,0,0,0
"OD_1_01185700",383,0,0,0,0
"OD_1_01185000",282,0,3,0,2700
"OD_1_01175700",1012,65,21,58500,18900
"OD_1_01179300",8050,0,30,0,27000
"OD_1_01186100",1063,0,0,0,0
"OD_1_01173800",1023,0,0,0,0
"OD_1_01185800",383,0,0,0,0
"OD_1_01179700",282,0,0,0,0
"OD_1_01175600",490,2,0,1800,0
"OD_1_01187800",6816,0,29,0,26100
"OD_1_01186700",3407,0,0,0,0
"OD_1_01179800",1712,0,4,0,3600
"OD_1_01188200",1920,0,6,0,5400
"OD_1_01174000",114,4,0,3600,0
"OD_1_01173600",254,0,0,0,0
"OD_1_01186600",1850,0,2,0,1800
"OD_1_01179600",462,0,0,0,0
"OD_1_01174100",2298,1,1,900,900
"OD_1_01176200",1433,0,0,0,0
"OD_1_01173700",1122,0,2,0,1800
"OD_1_01186000",995,0,1,0,900
"OD_1_01257700",1692,4,3,3600,2700
"OD_1_01186300",341,0,0,0,0
"OD_1_01187600",2319,0,7,0,6300
"OD_1_01176100",3261,1,2,900,1800
"OD_1_01176400",1024,0,8,0,7200
"OD_1_01179500",468,0,0,0,0
"OD_1_01178900",3028,8,4,7200,3600
"OD_1_01176500",591,0,6,0,5400
"OD_1_01187500",182,0,0,0,0
"OD_1_01187200",2167,0,1,0,900
"OD_1_01259200",1535,14,7,12600,6300
"OD_1_01176700",2162,0,5,0,4500
"OD_1_01179400",829,0,0,0,0
"OD_1_01179200",979,0,0,0,0
"OD_1_01187400",1375,0,0,0,0
"OD_1_01259900",1302,0,6,0,5400
"OD_1_01186800",3387,0,1,0,900
"OD_1_01176600",127,0,0,0,0
"OD_1_01257600",633,0,0,0,0
"OD_1_01187000",1971,0,1,0,900
"OD_1_01259800",1434,0,5,0,4500
"OD_1_01179900",573,0,0,0,0
"OD_1_01188300",439,0,0,0,0
"OD_1_01177200",241,0,0,0,0
"OD_1_01187700",3282,0,6,0,5400
"OD_1_01179100",514,0,0,0,0
"OD_1_01260000",1387,7,1,6300,900
"OD_1_01259400",802,0,5,0,4500
"OD_1_01258300",1403,3,60,2700,54000
"OD_1_01258400",535,0,19,0,17100
"OD_1_01188700",1856,0,0,0,0
"OD_1_01186900",2091,0,0,0,0
"OD_1_01258500",490,0,139,0,125100
"OD_1_01259100",2294,20,5,18000,4500
"OD_1_01188100",582,0,0,0,0
"OD_1_01188000",140,0,0,0,0
"OD_1_01258200",218,4,0,3600,0
"OD_1_01180000",962,0,0,0,0
"OD_1_01258600",741,6,42,5400,37800
"OD_1_01259300",227,2,2,1800,1800
"OD_1_01259600",347,0,0,0,0
"OD_1_01178800",135,0,0,0,0
"OD_1_01177100",329,0,0,0,0
"OD_1_01188600",356,0,3,0,2700
"OD_1_01189700",3006,0,8,0,7200
"OD_1_01258700",94,0,61,0,54900
"OD_1_01188500",264,0,0,0,0
"OD_1_01178700",1824,0,1,0,900
"OD_1_01179000",2043,0,0,0,0
"OD_1_01176800",1028,0,2,0,1800
"OD_1_01242700",911,7,240,6300,216000
"OD_1_01180200",1806,0,1,0,900
"OD_1_01189100",3343,0,2,0,1800
"OD_1_01187900",157,0,0,0,0
"OD_1_01187300",466,0,0,0,0
"OD_1_01260200",1232,0,3,0,2700
"OD_1_01180100",1834,0,2,0,1800
"OD_1_01259000",905,0,0,0,0
"OD_1_01181200",3895,11,15,9900,13500
"OD_1_01258800",404,0,0,0,0
"OD_1_01190200",1530,0,3,0,2700
"OD_1_01187100",166,0,0,0,0
"OD_1_01178600",739,0,0,0,0
"OD_1_01177400",130,0,0,0,0
"OD_1_01177300",111,0,0,0,0
"OD_1_01188800",215,0,0,0,0
