UniqueID,NEAR_DIST
OD_1_01159200,46585.67801
OD_1_01159400,46371.49649
OD_1_01159100,45555.78749
OD_1_01161700,44889.25523
OD_1_01161600,45165.4719
OD_1_01160800,45148.17219
OD_1_01161800,44416.73259
OD_1_01159500,45248.4419
OD_1_01159300,44978.77086
OD_1_01159600,45304.90666
OD_1_01160600,45021.33622
OD_1_01160900,44485.30665
OD_1_01161500,44380.76727
OD_1_01160400,44816.41314
OD_1_01160500,44600.86248
OD_1_01161400,44262.53935
OD_1_01159700,44571.30259
OD_1_01161300,43414.13774
OD_1_01160300,44201.50939
OD_1_01162000,43334.88845
OD_1_01161000,43766.32794
OD_1_01159800,43922.45641
OD_1_01160200,43631.86659
OD_1_01162400,41788.93831
OD_1_01162100,42307.24338
OD_1_01159900,43448.00743
OD_1_01160100,43088.45878
OD_1_01161100,42878.02301
OD_1_01160000,43110.43066
OD_1_01161200,42266.01075
OD_1_01162800,40871.81143
OD_1_01162200,41717.69907
OD_1_01162900,40877.66218
OD_1_01163300,41373.42267
OD_1_01162500,40477.67111
OD_1_01162700,40593.68255
OD_1_01163000,41490.91977
OD_1_01162300,40945.22612
OD_1_01162600,39097.22581
OD_1_01164100,38688.50649
OD_1_01163200,39921.12515
OD_1_01163700,38290.34592
OD_1_01163100,40376.46229
OD_1_01164200,37551.66226
OD_1_01163600,37178.02144
OD_1_01163500,38020.09708
OD_1_01163900,36909.70359
OD_1_01163800,36660.88728
OD_1_01164000,36401.52333
OD_1_01164400,35827.11531
OD_1_01164700,35192.12816
OD_1_01165600,35487.34609
OD_1_01164500,34962.87079
OD_1_01163400,37063.57628
OD_1_01164600,34602.0837
OD_1_00976800,36712.18063
OD_1_01165500,34048.4084
OD_1_01164900,34055.9266
OD_1_00977100,35365.47423
OD_1_01165300,33545.856
OD_1_01166800,32684.14318
OD_1_01166900,33578.87068
OD_1_01165700,32304.51241
OD_1_01165000,33502.0559
OD_1_01164800,33512.73182
OD_1_01165200,32827.73612
OD_1_01165100,32882.3036
OD_1_01166100,32961.95126
OD_1_01166200,32419.61125
OD_1_01165400,32895.04077
OD_1_00977300,33578.21877
OD_1_01166700,32143.82248
OD_1_00977400,32394.57276
OD_1_01166400,32316.34191
OD_1_01167400,31395.41158
OD_1_01166000,32125.8637
OD_1_01166500,31964.15476
OD_1_01167700,31431.09291
OD_1_01166300,31692.88565
OD_1_01166600,31550.46412
OD_1_01167600,31162.08395
OD_1_01167500,31125.43687
OD_1_00977500,31695.89745
OD_1_01168800,30908.51418
OD_1_01167800,30704.91633
OD_1_40801000,27687.45282
OD_1_01168000,30583.02928
OD_1_01168200,30991.95718
OD_1_01168600,30544.31923
OD_1_01165900,30894.52709
OD_1_01168300,30783.6099
OD_1_01168700,30521.4564
OD_1_01168900,30434.45228
OD_1_01169000,30281.60816
OD_1_01168400,30270.93224
OD_1_01168100,30145.33348
OD_1_01169500,29940.05853
OD_1_01165800,30457.77281
OD_1_01169400,29794.20037
OD_1_01169300,29672.18182
OD_1_01167900,30029.34466
OD_1_01168500,29707.07617
OD_1_01170600,30000.79823
OD_1_01169600,29175.65295
OD_1_01170800,29289.71855
OD_1_01170700,29354.26445
OD_1_01170900,28894.16933
OD_1_01170200,28460.25188
OD_1_01170100,28410.16691
OD_1_01170000,28150.8031
OD_1_01171000,29089.66125
OD_1_01170300,27903.1445
OD_1_01175100,28398.64201
OD_1_01171600,26914.99569
OD_1_01171100,28154.35208
OD_1_01170400,27475.36234
OD_1_01171300,27973.18671
OD_1_01171900,27373.44854
OD_1_01175000,26429.60093
OD_1_01171400,27905.30703
OD_1_01171500,27867.66126
OD_1_01172100,26258.57228
OD_1_01170500,27005.41164
OD_1_01171800,26571.09013
OD_1_01175200,26966.79299
OD_1_01185400,23305.71938
OD_1_01172500,25648.74208
OD_1_01184600,24813.47071
OD_1_01171700,25798.88385
OD_1_01174500,26203.97385
OD_1_01173200,25059.73086
OD_1_01173100,25623.24471
OD_1_01174400,25726.48057
OD_1_01172600,25036.54056
OD_1_01174600,25954.78878
OD_1_01173000,25392.07496
OD_1_01172900,25192.5555
OD_1_01175900,26170.66997
OD_1_01176000,25431.31386
OD_1_01174700,25651.07964
OD_1_01184800,24087.32345
OD_1_01174200,24479.90512
OD_1_01174800,25508.11276
OD_1_01172800,24680.31875
OD_1_01174300,25246.25228
OD_1_01185200,23608.46891
OD_1_01257000,27387.88135
OD_1_01174900,24481.89634
OD_1_01185300,22523.78992
OD_1_01173900,24241.03588
OD_1_01256900,27320.66726
OD_1_01175800,25578.32064
OD_1_01185100,23676.88644
OD_1_01176300,23542.52268
OD_1_01173300,24504.0033
OD_1_01172700,24328.72027
OD_1_01173400,24216.01315
OD_1_01175500,24632.08592
OD_1_01184900,23882.04234
OD_1_01185600,21896.52243
OD_1_01173500,24049.58768
OD_1_01188400,22157.59057
OD_1_01185700,22058.03085
OD_1_01185000,23504.86638
OD_1_01175700,24811.32561
OD_1_01179300,22795.79512
OD_1_01186100,20147.34514
OD_1_01173800,23459.42747
OD_1_01185800,21451.83515
OD_1_01179700,23869.57093
OD_1_01175600,24631.2216
OD_1_01187800,19564.05473
OD_1_01186700,17792.77461
OD_1_01179800,22784.47015
OD_1_01188200,21178.44791
OD_1_01174000,23790.26989
OD_1_01173600,23662.97014
OD_1_01186600,18247.50727
OD_1_01179600,23532.39013
OD_1_01174100,23214.91549
OD_1_01176200,23950.95911
OD_1_01173700,23007.87274
OD_1_01186000,19625.12218
OD_1_01257700,25869.99542
OD_1_01186300,19029.32682
OD_1_01187600,19347.63545
OD_1_01176100,23546.85429
OD_1_01176400,23471.71165
OD_1_01179500,23122.25429
OD_1_01178900,22568.45838
OD_1_01176500,23074.98198
OD_1_01187500,19345.67464
OD_1_01187200,17910.11544
OD_1_01259200,24007.76004
OD_1_01176700,22700.81813
OD_1_01179400,22534.95015
OD_1_01179200,22128.54818
OD_1_01187400,18147.61662
OD_1_01259900,24384.65816
OD_1_01186800,16420.33286
OD_1_01176600,23072.24525
OD_1_01257600,25326.1286
OD_1_01187000,16823.86417
OD_1_01259800,24084.76686
OD_1_01179900,22278.04089
OD_1_01188300,21287.77898
OD_1_01177200,22807.81767
OD_1_01187700,17931.24549
OD_1_01179100,22244.06525
OD_1_01260000,24546.20069
OD_1_01259400,23942.63918
OD_1_01258300,23059.96266
OD_1_01258400,22788.36527
OD_1_01188700,20713.8611
OD_1_01186900,16273.0191
OD_1_01258500,22874.70591
OD_1_01259100,23041.28425
OD_1_01188100,20125.44284
OD_1_01188000,20679.03453
OD_1_01258200,23219.85574
OD_1_01180000,21584.77698
OD_1_01258600,22316.9687
OD_1_01259300,23628.57535
OD_1_01259600,23744.98729
OD_1_01178800,22312.4498
OD_1_01177100,22191.50798
OD_1_01188600,21261.47596
OD_1_01189700,19292.19035
OD_1_01258700,22618.04573
OD_1_01188500,21711.95625
OD_1_01178700,21623.63793
OD_1_01179000,21337.61569
OD_1_01176800,21744.37921
OD_1_01242700,22217.98274
OD_1_01180200,21231.16941
OD_1_01189100,20733.23045
OD_1_01187900,19428.92016
OD_1_01187300,17218.55794
OD_1_01260200,24042.29009
OD_1_01180100,21154.3226
