"UniqueID","Other","DryAqua","Aqua","DryAqua_area_m2","Aqua_area_m2"
"TN_8_01246700",8642,152,20,136800,18000
"TN_8_00918200",2266,0,12,0,10800
"TN_8_01247100",23536,600,2,540000,1800
"TN_8_01254100",10481,171,0,153900,0
"TN_8_01238400",4750,1,6,900,5400
"TN_8_01248900",10415,11,0,9900,0
"TN_8_01253800",5176,18,0,16200,0
"TN_8_01246900",23065,103,0,92700,0
"TN_8_01246800",6603,1,0,900,0
"TN_8_01247600",12106,36,6,32400,5400
"TN_8_01253800",3483,30,0,27000,0
"TN_8_00917700",2809,0,0,0,0
"TN_8_01238600",9950,8,0,7200,0
"TN_8_01247200",2103,85,0,76500,0
"TN_8_01248000",13463,22,2,19800,1800
"TN_8_01254000",11505,129,8,116100,7200
"TN_8_01248100",8723,114,0,102600,0
"TN_8_01248200",17753,83,2,74700,1800
"TN_8_01239300",7832,34,0,30600,0
"TN_8_01249100",17217,17,3,15300,2700
"TN_8_01238700",4135,13,0,11700,0
"TN_8_01248800",18945,254,7,228600,6300
"TN_8_01254400",10874,19,4,17100,3600
"TN_8_01254900",8330,11,0,9900,0
"TN_8_01239500",15999,0,0,0,0
"TN_8_01249200",13911,60,2,54000,1800
"TN_8_01239100",6678,25,0,22500,0
"TN_8_01248300",1264,59,4,53100,3600
"TN_8_01239000",9313,59,2,53100,1800
"TN_8_01247800",5677,31,0,27900,0
"TN_8_01254800",9592,20,0,18000,0
"TN_8_01247700",3432,88,0,79200,0
"TN_8_01238800",9581,5,0,4500,0
"TN_8_01248500",10843,147,3,132300,2700
"TN_8_01249300",11083,19,0,17100,0
"TN_8_01255600",26901,6,22,5400,19800
"TN_8_01248400",1902,11,0,9900,0
"TN_8_01248700",14200,273,2,245700,1800
"TN_8_01255000",15216,351,1,315900,900
"TN_8_01239200",7601,32,1,28800,900
"TN_8_01247900",4221,20,24,18000,21600
"TN_8_01248600",8307,97,0,87300,0
"TN_8_01254500",10224,55,0,49500,0
"TN_8_01250400",18840,461,4,414900,3600
"TN_8_01238900",8369,104,0,93600,0
"TN_8_01250200",16101,146,3,131400,2700
"TN_8_01249400",9462,240,1,216000,900
"TN_8_01255700",1206,0,0,0,0
"TN_8_01250000",12237,9,0,8100,0
"TN_8_01240100",13120,41,0,36900,0
"TN_8_01250500",20025,357,0,321300,0
"TN_8_01240000",12994,94,10,84600,9000
"TN_8_01254700",3511,5,0,4500,0
"TN_8_01254600",7638,58,0,52200,0
"TN_8_01255100",6588,86,0,77400,0
"TN_8_42203000",9184,108,10,97200,9000
"TN_8_01239700",8643,0,0,0,0
"TN_8_01255800",9675,7,1,6300,900
"TN_8_01240400",9422,236,8,212400,7200
"TN_8_01249900",3666,64,0,57600,0
"TN_8_01250300",3119,11,0,9900,0
"TN_8_01249800",8350,34,0,30600,0
"TN_8_00922400",1785,3,0,2700,0
"TN_8_01240500",8387,38,38,34200,34200
"TN_8_01240200",13846,467,1,420300,900
"TN_8_00922300",956,3,0,2700,0
"TN_8_01239900",10117,2,0,1800,0
"TN_8_01239800",13092,0,0,0,0
"TN_8_01255900",7648,1,0,900,0
"TN_8_01249600",8854,224,1,201600,900
"TN_8_01255500",16138,25,0,22500,0
"TN_8_01240600",8034,158,0,142200,0
"TN_8_01240300",5280,119,0,107100,0
"TN_8_01250100",8650,28,0,25200,0
"TN_8_01241600",14759,15,0,13500,0
"TN_8_01241500",7796,21,1,18900,900
"TN_8_01240900",9122,132,43,118800,38700
"TN_8_01255400",7484,84,0,75600,0
"TN_8_01255200",4211,83,0,74700,0
"TN_8_01274600",4306,0,4,0,3600
"TN_8_01251100",10877,88,2,79200,1800
"TN_8_01274700",7272,0,1,0,900
"TN_8_00924500",400,0,0,0,0
"TN_8_00924400",3738,0,0,0,0
"TN_8_01255300",9180,23,1,20700,900
"TN_8_01249500",2538,86,0,77400,0
"TN_8_01250600",14118,492,0,442800,0
"TN_8_01241000",6651,114,3,102600,2700
"TN_8_01250900",11441,242,0,217800,0
"TN_8_01249700",3372,3,0,2700,0
"TN_8_01251400",8705,176,142,158400,127800
"TN_8_01251200",3271,59,3,53100,2700
"TN_8_00924500",140,0,0,0,0
"TN_8_01241700",8634,3,0,2700,0
"TN_8_01240700",3884,168,0,151200,0
"TN_8_01256500",5839,62,0,55800,0
"TN_8_01241100",13891,357,45,321300,40500
"TN_8_01241300",12035,74,3,66600,2700
"TN_8_01241400",8476,35,4,31500,3600
"TN_8_00924600",389,0,0,0,0
"TN_8_01274500",2689,0,3,0,2700
"TN_8_01241200",4170,29,2,26100,1800
"TN_8_01256600",7184,73,0,65700,0
"TN_8_01250800",9068,116,27,104400,24300
"TN_8_00924500",72,0,0,0,0
"TN_8_01242000",17843,50,0,45000,0
"TN_8_01256100",9441,12,0,10800,0
"TN_8_01256000",5466,12,1,10800,900
"TN_8_01256400",4399,6,0,5400,0
"TN_8_01256300",8191,5,0,4500,0
"TN_8_01251300",12816,308,35,277200,31500
"TN_8_01240800",6285,170,0,153000,0
"TN_8_00924500",737,0,0,0,0
"TN_8_01275100",5024,2,33,1800,29700
"TN_8_01256200",8552,50,0,45000,0
"TN_8_42201000",12462,54,1,48600,900
"TN_8_01259100",10747,281,0,252900,0
"TN_8_01242500",16141,158,1,142200,900
"TN_8_01242100",18249,91,4,81900,3600
"TN_8_01251800",5861,37,0,33300,0
"TN_8_01275200",5635,2,17,1800,15300
"TN_8_01251000",962,25,0,22500,0
"TN_8_01250700",9050,41,1,36900,900
"TN_8_00924800",7449,0,0,0,0
"TN_8_01275000",2621,0,0,0,0
"TN_8_01259000",5644,64,1,57600,900
"TN_8_01242800",4741,175,46,157500,41400
"TN_8_01251700",9756,52,7,46800,6300
"TN_8_01241800",14686,17,1,15300,900
"TN_8_01275300",4152,1,3,900,2700
"TN_8_01256700",8950,12,0,10800,0
"TN_8_01242200",4895,5,0,4500,0
"TN_8_01252100",13826,222,0,199800,0
"TN_8_01258900",16496,94,3,84600,2700
"TN_8_01242700",4210,75,3,67500,2700
"TN_8_01275600",3862,0,0,0,0
"TN_8_01252000",6908,38,0,34200,0
"TN_8_01251600",8450,158,29,142200,26100
"TN_8_01251900",4479,23,0,20700,0
"TN_8_01275500",512,0,0,0,0
"TN_8_01242900",14615,500,14,450000,12600
"TN_8_00928000",9413,31,14,27900,12600
"TN_8_01275400",3621,1,25,900,22500
"TN_8_01242400",9295,30,0,27000,0
"TN_8_01276100",3839,1,1,900,900
"TN_8_01276000",7067,1,0,900,0
"TN_8_01256800",9871,18,0,16200,0
"TN_8_01256900",8782,19,0,17100,0
"TN_8_01259400",10660,51,0,45900,0
"TN_8_00928100",5328,43,55,38700,49500
"TN_8_01242600",11669,181,3,162900,2700
"TN_8_01251500",5889,271,76,243900,68400
"TN_8_01258800",21923,995,1,895500,900
"TN_8_00924700",524,0,0,0,0
"TN_8_01259200",8200,41,0,36900,0
"TN_8_01243500",5678,80,1,72000,900
"TN_8_01241900",16875,40,1,36000,900
"TN_8_01252700",7128,242,1,217800,900
"TN_8_01252200",4459,6,0,5400,0
"TN_8_01252900",6798,20,0,18000,0
"TN_8_01259500",7148,76,0,68400,0
"TN_8_01257000",11830,22,6,19800,5400
"TN_8_01276200",3415,3,0,2700,0
