"UniqueID","saline_pixel_count","saline_area_m2","State","District","Year"
"AP_1_01144800",32.1564979553223,28940.84815979,"AP",1,2013
"AP_1_01144900",8.05258750915527,7247.32875823975,"AP",1,2013
"AP_1_01145000",34,30600,"AP",1,2013
"AP_1_01145100",2,1800,"AP",1,2013
"AP_1_01145200",3,2700,"AP",1,2013
"AP_1_01145500",7,6300,"AP",1,2013
"AP_1_01145300",0,0,"AP",1,2013
"AP_1_01145400",1,900,"AP",1,2013
"AP_1_01146100",0,0,"AP",1,2013
"AP_1_01146000",0.624734580516815,562.261122465134,"AP",1,2013
"AP_1_01146700",162.862182617188,146575.964355469,"AP",1,2013
"AP_1_01146200",12.9704322814941,11673.3890533447,"AP",1,2013
"AP_1_01146800",146.704193115234,132033.773803711,"AP",1,2013
"AP_1_01145700",0,0,"AP",1,2013
"AP_1_01145800",0,0,"AP",1,2013
"AP_1_01146400",0,0,"AP",1,2013
"AP_1_01145900",1.37526535987854,1237.73882389069,"AP",1,2013
"AP_1_01146600",43,38700,"AP",1,2013
"AP_1_01146900",121.161849975586,109045.664978027,"AP",1,2013
"AP_1_01146300",13.0295677185059,11726.6109466553,"AP",1,2013
"AP_1_01146500",0,0,"AP",1,2013
"AP_1_01148800",1057.04943847656,951344.494628906,"AP",1,2013
"AP_1_01148600",7,6300,"AP",1,2013
"AP_1_01139100",2,1800,"AP",1,2013
"AP_1_01148300",5.5396933555603,4985.72402000427,"AP",1,2013
"AP_1_01148700",156.378707885742,140740.837097168,"AP",1,2013
"AP_1_01148400",5,4500,"AP",1,2013
"AP_1_01148200",1.46030652523041,1314.27587270737,"AP",1,2013
"AP_1_01148000",11.0373945236206,9933.65507125854,"AP",1,2013
"AP_1_01148500",0,0,"AP",1,2013
"AP_1_01147000",11.5790929794312,10421.183681488,"AP",1,2013
"AP_1_01147100",1.96260583400726,1766.34525060654,"AP",1,2013
"AP_1_01139000",1.22281563282013,1100.53406953812,"AP",1,2013
"AP_1_01138900",1,900,"AP",1,2013
"AP_1_01148900",1283.92834472656,1155535.51025391,"AP",1,2013
"AP_1_01139200",6.77718448638916,6099.46603775024,"AP",1,2013
"AP_1_01147900",459.539916992188,413585.925292969,"AP",1,2013
"AP_1_01140300",3.42090702056885,3078.81631851196,"AP",1,2013
"AP_1_01138800",0,0,"AP",1,2013
"AP_1_01139300",0,0,"AP",1,2013
"AP_1_01139900",0,0,"AP",1,2013
"AP_1_01149000",484.538177490234,436084.359741211,"AP",1,2013
"AP_1_01139400",0,0,"AP",1,2013
"AP_1_01139800",0,0,"AP",1,2013
"AP_1_01139500",0,0,"AP",1,2013
"AP_1_01139600",0,0,"AP",1,2013
"AP_1_01147800",134.135009765625,120721.508789062,"AP",1,2013
"AP_1_01139700",0,0,"AP",1,2013
"AP_1_01140600",0,0,"AP",1,2013
"AP_1_01130500",0,0,"AP",1,2013
"AP_1_01140400",0,0,"AP",1,2013
"AP_1_01140700",1,900,"AP",1,2013
"AP_1_01140500",0,0,"AP",1,2013
"AP_1_01107500",3,2700,"AP",1,2013
"AP_1_01147700",50.8911895751953,45802.0706176758,"AP",1,2013
"AP_1_01141300",4,3600,"AP",1,2013
"AP_1_01141200",0,0,"AP",1,2013
"AP_1_01140800",0,0,"AP",1,2013
"AP_1_01141400",0,0,"AP",1,2013
"AP_1_01140900",1,900,"AP",1,2013
"AP_1_01107400",0,0,"AP",1,2013
"AP_1_01141000",2,1800,"AP",1,2013
"AP_1_01107800",1,900,"AP",1,2013
"AP_1_01141100",0,0,"AP",1,2013
"AP_1_01141500",0,0,"AP",1,2013
"AP_1_01147600",146.32405090332,131691.645812988,"AP",1,2013
"AP_1_01149100",0,0,"AP",1,2013
"AP_1_01142000",2,1800,"AP",1,2013
"AP_1_01141600",2,1800,"AP",1,2013
"AP_1_01141700",1,900,"AP",1,2013
"AP_1_01141800",2,1800,"AP",1,2013
"AP_1_01107900",42.9231758117676,38630.8582305908,"AP",1,2013
"AP_1_01142100",0,0,"AP",1,2013
"AP_1_01141900",0,0,"AP",1,2013
"AP_1_01143800",0,0,"AP",1,2013
"AP_1_01142300",1,900,"AP",1,2013
"AP_1_01142200",0,0,"AP",1,2013
"AP_1_01143500",0,0,"AP",1,2013
"AP_1_01143400",2,1800,"AP",1,2013
"AP_1_01143700",8,7200,"AP",1,2013
"AP_1_01147500",85.49951171875,76949.560546875,"AP",1,2013
"AP_1_01107700",50.0682373046875,45061.4135742188,"AP",1,2013
"AP_1_01143300",0,0,"AP",1,2013
"AP_1_01108100",29.1178436279297,26206.0592651367,"AP",1,2013
"AP_1_01147400",171.222229003906,154100.006103516,"AP",1,2013
"AP_1_01143600",2,1800,"AP",1,2013
"AP_1_01143900",0,0,"AP",1,2013
"AP_1_01143200",0,0,"AP",1,2013
"AP_1_01143100",0.366392582654953,329.753324389458,"AP",1,2013
"AP_1_01144100",0,0,"AP",1,2013
"AP_1_01144000",0,0,"AP",1,2013
"AP_1_01147300",385.28466796875,346756.201171875,"AP",1,2013
"AP_1_01142800",0.633607387542725,570.246648788452,"AP",1,2013
"AP_1_01143000",3,2700,"AP",1,2013
"AP_1_01144200",15,13500,"AP",1,2013
"AP_1_01130700",18,16200,"AP",1,2013
"AP_1_01147200",153.524673461914,138172.206115723,"AP",1,2013
"AP_1_41103000",7,6300,"AP",1,2013
"AP_1_01108000",16.1298007965088,14516.8207168579,"AP",1,2013
"AP_1_01108300",115.523284912109,103970.956420898,"AP",1,2013
"AP_1_01130600",9,8100,"AP",1,2013
"AP_1_01142900",2.10447907447815,1894.03116703033,"AP",1,2013
"AP_1_01144500",3,2700,"AP",1,2013
"AP_1_01142700",5.89552116394043,5305.96904754639,"AP",1,2013
"AP_1_01142500",0,0,"AP",1,2013
"AP_1_01149200",0,0,"AP",1,2013
"AP_1_01108400",25.5216274261475,22969.4646835327,"AP",1,2013
"AP_1_01149300",3,2700,"AP",1,2013
"AP_1_01150400",211.104370117188,189993.933105469,"AP",1,2013
"AP_1_01144300",0,0,"AP",1,2013
"AP_1_01142400",1.83414208889008,1650.72788000107,"AP",1,2013
"AP_1_01108500",80.7160263061523,72644.4236755371,"AP",1,2013
"AP_1_01144400",24.6503086090088,22185.2777481079,"AP",1,2013
"AP_1_01142600",5,4500,"AP",1,2013
"AP_1_01108600",4,3600,"AP",1,2013
"AP_1_01150100",0,0,"AP",1,2013
"AP_1_01150200",0,0,"AP",1,2013
"AP_1_01150300",6.72364902496338,6051.28412246704,"AP",1,2013
"AP_1_01149900",20.1658573150635,18149.2715835571,"AP",1,2013
"AP_1_01131400",1,900,"AP",1,2013
"AP_1_01149700",0,0,"AP",1,2013
