UniqueID,Surge_A26_,Surge_A29_,Surge_A37_,Surge_A38_,Surge_A39_,Surge_A50_,Surge_A33_,Surge_A41_,Surge_A48_,Surge_A34_,Surge_A44_,Surge_A43_,Surge_A55_,Surge_A47_,Surge_A12_,Surge_A46_,Duplicate
OD_1_01159200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01159900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01161200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01162600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01163400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_00976800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_00977100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01164800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_00977300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_00977400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01167400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01167700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01166600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01167600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01167500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_00977500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01168800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01167800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_40801000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01168200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01168600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01165900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
OD_1_01168300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unique
