"feature","mean_abs_effect","sd_effect"
"NBNIR",0.162382,0.192097211501538
"NRSWIR2",0.09256,0.126504870484935
"SI4",0.048728,0.0620109184761556
"NGSWIR1",0.038518,0.0504411545446263
"Red",0.031752,0.0400397996869909
"VSSI",0.022426,0.029517043837808
"NBSWIR2",0.017456,0.0276271824523676
"SWIR2",0.013982,0.0190868224108569
"Blue",0,0
"Green",0,0
"NBG",0,0
"NBR",0,0
"NBSWIR1",0,0
"NDSI1",0,0
"NDSI2",0,0
"NDVI",0,0
"NDWI",0,0
"NGSWIR2",0,0
"NIR",0,0
"NNIRSWIR1",0,0
"NNIRSWIR2",0,0
"NRSWIR1",0,0
"SAVI",0,0
"SI1",0,0
"SI2",0,0
"SI3",0,0
"SI5",0,0
"SWIR1",0,0
