"state_code","district_code","total_villages","mean_agriculture_percent","mean_urban_percent"
"AP",1,1831,246.734007263989,1.52268558322819
"AP",2,1402,1.03116459342164,NA
"AP",3,1503,1.46369305224507,NA
"AP",4,1168,0.645635846961601,NA
"AP",5,886,10.3219412112549,NA
"AP",6,986,251.714254824901,3.50312584874359
"AP",7,728,103.047434091525,1.64195983830798
"AP",8,1066,286.048377441968,NA
"AP",9,1182,562.951639550991,4.16212366419426
"OD",1,2835,196.903636368667,NA
"OD",2,1303,290.481338770643,0.00645927574823152
"OD",3,1554,155.442352308941,NA
"OD",4,1263,137.856689017492,NA
"OD",5,1685,156.563776539962,14.100034710669
"OD",6,3267,2.61461608882912,NA
"TN",1,617,280.959613588116,11.1639178914918
"TN",2,1245,917.466305459656,759.329050883873
"TN",3,1477,436.474003267887,3.15329776551437
"TN",4,855,52.102612312595,27.2753177591534
"TN",5,487,563.738135240688,49.0312544185438
"TN",6,620,311.193965663463,24.7010476210411
"TN",7,835,232.554220485396,17.5249802545984
"TN",8,746,312.596286656118,NA
"TN",9,444,149.106789225946,0.44390399404594
"TN",10,474,449.996826924787,1.57295074520296
"TN",11,502,465.495564049164,NA
"TN",12,127,5.58777615136259,0.297449201394213
